softconfNumber,workshopNumber,title,summary,authors,url,prevAttendees,days,pollNum
40,WS-1,Fifth Conference on Machine Translation (WMT20),A two day conference on machine translation with shared tasks.,"Barry Haddow, Philipp Koehn, Ondřej Bojar, Christian Federmann, Yvette Graham, Matthias Huck, Christof Monz and Lucia Specia",http:/www.statmt.org/wmt20,300,2,90
32,WS-10,Workshop on Insights from Negative Results in NLP,"Let's take a break from chasing leaderboards! Your negative results might save others time, or poke holes in things we take for granted.","Anna Rogers, Joao Sedoc and Anna Rumshisky",https://insights-workshop.github.io/,N/A,1,52
36,WS-11,Search-Oriented Conversational AI (SCAI) 2,N/A,"Julia Kiseleva, Aleksandr Chuklin, Jeff Dalton and Mikhail Burtsev",http://scai.info,400,1,
45,WS-12,Workshop on Cognitive Modeling and Computational Linguistics (CMCL),"The CMCL workshop provides a venue for computational research on cognitive theories of language processing, representation and acquisition.","Emmanuele Chersoni, Cassandra L. Jacobs, Yohei Oseki, Laurent Prévot and Enrico Santus",https://cmclorg.github.io/, 30-35,1,101
46,WS-13,Interactive and Executable Semantic Parsing (Int-Ex),"Map natural language to meaning representations executed in databases, knowledge graphs, robotic environment and software applications.","Ben Bogin, Srinivasan Iyer, Xi Victoria Lin, Panupong Pasupat, Alane Suhr, Pengcheng Yin, Tao Yu, Rui Zhang, Victor Zhong, Caiming Xiong and Dragomir Radev",https://intex-sempar.github.io/,N/A,1,51
48,WS-14,SustaiNLP: Workshop on Simple and Efficient Natural Language Processing,"Promoting computationally efficient NLP and justified model complexity. Encouraging conceptual NLP novelty, discouraging ""more compute"".","Angela Fan, Goran Glavaš, Shafiq Joty, Nafise Sadat Moosavi, Vered Shwartz, Alex Wang and Thomas Wolf",https://sites.google.com/view/sustainlp2020,NA,1,47
54,WS-15,1st Workshop on Computational Approaches to Discourse,The Workshop on Computational Approaches to Discourse (CAD) covers all aspects of discourse and its computational modeling.,"Chloé Braud, Christian Hardmeier, Junyi Jessy Li, Annie Louis and Michael Strube",https://cad-workshop.github.io/,N/A,1,87
62,WS-16,The Fourth Workshop on Abusive Language Online,"The workshop focuses on online abuse through a multi-disciplinary lens, drawing on social sciences, law, media studies, and more.","Zeerak Waseem, Vinodkumar Prabhakaran and Bertie Vidgen",https://sites.google.com/view/alw4/,"~60, ~80, ~60",1,81
85,WS-17,NLP and Computational Social Science (NLP+CSS),"This workshop focuses on NLP for Social Sciences, interdisciplinary work in CSS, and integrating CSS with current trends in NLP.","Svitlana Volkova, David Jurgens, David Bamman and Dirk Hovy",https://sites.google.com/site/nlpandcss/nlp-css-at-emnlp-2020,50,1,98
92,WS-18,LOUHI 2020 - 11th International Workshop on Health Text Mining and Information Analysis,an interdisciplinary forum for researchers interested in automated processing of health documents,"Alberto Lavelli, James Pustejovsky, Eben Holderness, Antonio Jimeno Yepes, Anne-Lyse Minard and Fabio Rinaldi",https://louhi2020.fbk.eu/,60-70,1,55
94,WS-19,Evaluation and Comparison of NLP Systems,"The workshop focuses on designing evaluation metrics, reporting trustworthy results and creating adequate and correct evaluation data.","Ido Dagan, Ani Nenkova, Mohit Bansal, Robert West, Eduard Hovy, Steffen Eger, Yang Gao, Maxime Peyrard and Wei Zhao",https://nlpevaluation2020.github.io/,N/A,1,109
63,WS-2,CoNLL 2020,CoNLL is a yearly top-tier NLP conference that has been organized by SIGNLL since 1997.,Julia Hockenmaier and Afra Alishahi,https://www.conll.org,N/A,2,
98,WS-20,4th Workshop on Structured Prediction for NLP,"Structured prediction with continuous representations, task-level supervision and latent linguistic structure.","André F. T. Martins, Andreas Vlachos, Zornitsa Kozareva, Sujith Ravi, Gerasimos Lampouras, Priyanka Agrawal and Julia Kreutzer",http://structuredprediction.github.io/,100,1,96
58,WS-21,Workshop on NLP for Positive Impact,"Our workshop aims to promote NLP research that will positively impact society, through proactive and responsible methods.","Maarten Sap, Anjalie Field, Michel Galley, Hannah Rashkin and Bill Dolan",https://sites.google.com/view/nlp4positiveimpact2020,N/A,0.5,81
